Location,Shannon,Temperature,pH,Latitude
Water (ns),5.901372466,6.32,6.4,68.5684
Water (ns),6.435896707,5.89,6.4,68.571037
Water (ns),6.405065951,7.1,6.4,68.571037
Water (ns),6.344251603,11.54,6.4,68.571037
Water (ns),7.711193063,11.9,6.4,68.57478333
Water (ns),7.421309761,12.2,6.4,68.57478333
Water (ns),4.20463797,13.4,6.4,68.57478333
Water (ns),7.74082423,13.9,6.4,68.57478333
Water (ns),7.863246952,14.2,6.4,68.57478333
Water (ns),6.54601906,13.2,6.4,68.578931
Water (ns),7.122492502,11.6,6.4,68.58423333
Water (ns),9.311723729,7.1,6.4,68.59688333
Water (ns),6.847945005,2.44,6.4,68.600601
Water (ns),5.177959527,15.9,6.4,68.601493
Water (ns),6.498697797,9.2,6.4,68.611341
Water (ns),5.579906463,10.7,6.4,68.611341
Water (ns),6.122558972,11.2,6.4,68.61818333
Water (ns),6.291174779,11.9,6.4,68.61838333
Water (ns),4.526905937,21,6.43,53.1
Water (ns),4.4111204,21,6.43,53.1
Water (ns),5.610048171,1.5,6.47,53.1
Water (ns),5.086051966,19.4,6.49,53.1
Water (ns),5.546764918,19.4,6.49,53.1
Water (ns),1.972920986,15.7,6.5,53.1
Water (ns),5.17268563,15.7,6.5,53.1
Water (ns),6.34573596,1.87,6.5,68.571037
Water (ns),9.773705802,5.3,6.5,68.57366667
Water (ns),6.438791132,9.3,6.5,68.57478333
Water (ns),9.609745642,11.3,6.5,68.57478333
